hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,adults,children,babies,country,reserved_room_type,assigned_room_type,reservation_status,reservation_status_date,room_status,guest_type
Resort Hotel,0,10,2015,July,2,0,0,PRT,G,G,Check-Out,04-07-2015,Desired,Couples
Resort Hotel,0,5,2015,July,2,0,0,IRL,E,E,Check-Out,04-07-2015,Desired,Couples
Resort Hotel,0,17,2015,July,2,0,0,ESP,F,F,Check-Out,05-07-2015,Desired,Couples
Resort Hotel,0,93,2015,July,2,0,0,IRL,A,C,Check-Out,05-07-2015,Un-Desired,Couples
Resort Hotel,1,3,2015,July,2,0,0,PRT,A,A,Canceled,29-06-2015,Desired,Couples
Resort Hotel,0,10,2015,July,2,2,0,USA,G,H,Check-Out,05-07-2015,Un-Desired,Family
Resort Hotel,0,3,2015,July,2,0,0,ESP,A,C,Check-Out,05-07-2015,Un-Desired,Couples
Resort Hotel,0,51,2015,July,2,0,0,POL,D,D,Check-Out,05-07-2015,Desired,Couples
Resort Hotel,1,71,2015,July,3,0,0,PRT,A,A,Canceled,16-06-2015,Desired,Family
Resort Hotel,1,63,2015,July,2,0,0,PRT,A,A,Canceled,18-06-2015,Desired,Couples
Resort Hotel,1,62,2015,July,2,0,0,PRT,D,D,Canceled,03-07-2015,Desired,Couples
Resort Hotel,1,101,2015,July,2,0,0,PRT,A,A,Canceled,12-06-2015,Desired,Couples
Resort Hotel,0,2,2015,July,2,0,0,PRT,A,A,Check-Out,05-07-2015,Desired,Couples
Resort Hotel,0,15,2015,July,2,0,0,ESP,A,A,Check-Out,05-07-2015,Desired,Couples
Resort Hotel,1,51,2015,July,3,0,0,PRT,A,A,Canceled,09-06-2015,Desired,Family
Resort Hotel,0,3,2015,July,2,0,0,ESP,A,A,Check-Out,06-07-2015,Desired,Couples
Resort Hotel,1,48,2015,July,2,0,0,PRT,E,E,Canceled,26-05-2015,Desired,Couples
Resort Hotel,0,2,2015,July,1,0,0,PRT,A,A,Check-Out,07-07-2015,Desired,Single
Resort Hotel,0,72,2015,July,2,0,0,DEU,A,A,Check-Out,07-07-2015,Desired,Couples
Resort Hotel,0,81,2015,July,3,0,0,PRT,D,D,Check-Out,11-07-2015,Desired,Family
Resort Hotel,0,99,2015,July,2,0,0,FRA,A,A,Check-Out,12-07-2015,Desired,Couples
Resort Hotel,1,368,2015,July,2,0,0,PRT,A,A,Canceled,19-05-2015,Desired,Couples
Resort Hotel,0,364,2015,July,2,0,0,GBR,A,A,Check-Out,13-07-2015,Desired,Couples
Resort Hotel,1,81,2015,July,2,0,0,PRT,A,A,Canceled,09-06-2015,Desired,Couples
Resort Hotel,0,99,2015,July,2,0,0,GBR,E,E,Check-Out,13-07-2015,Desired,Couples
Resort Hotel,0,324,2015,July,2,0,0,GBR,E,E,Check-Out,17-07-2015,Desired,Couples
Resort Hotel,0,69,2015,July,2,0,0,GBR,F,F,Check-Out,17-07-2015,Desired,Couples
Resort Hotel,1,79,2015,July,2,1,0,PRT,A,A,Canceled,15-04-2015,Desired,Family
Resort Hotel,0,12,2015,July,2,0,0,GBR,A,C,Check-Out,04-07-2015,Un-Desired,Couples
Resort Hotel,0,9,2015,July,2,0,0,PRT,A,C,Check-Out,04-07-2015,Un-Desired,Couples
Resort Hotel,0,1,2015,July,2,0,0,ESP,A,C,Check-Out,04-07-2015,Un-Desired,Couples
Resort Hotel,0,21,2015,July,2,0,0,PRT,E,E,Check-Out,04-07-2015,Desired,Couples
Resort Hotel,0,9,2015,July,2,0,0,USA,C,C,Check-Out,04-07-2015,Desired,Couples
Resort Hotel,0,109,2015,July,2,0,0,BEL,A,A,Check-Out,04-07-2015,Desired,Couples
Resort Hotel,1,109,2015,July,2,0,0,PRT,A,A,Canceled,26-05-2015,Desired,Couples
Resort Hotel,1,72,2015,July,2,0,0,PRT,A,A,Canceled,29-06-2015,Desired,Couples
Resort Hotel,1,63,2015,July,2,0,0,PRT,F,F,Canceled,13-05-2015,Desired,Couples
Resort Hotel,0,63,2015,July,3,0,0,ESP,E,E,Check-Out,10-07-2015,Desired,Family
Resort Hotel,0,101,2015,July,2,1,0,PRT,D,D,Check-Out,10-07-2015,Desired,Family
Resort Hotel,0,102,2015,July,2,0,0,DEU,E,E,Check-Out,10-07-2015,Desired,Couples
Resort Hotel,0,4,2015,July,2,0,0,ESP,A,C,Check-Out,07-07-2015,Un-Desired,Couples
Resort Hotel,0,98,2015,July,2,0,0,FRA,D,D,Check-Out,07-07-2015,Desired,Couples
Resort Hotel,0,92,2015,July,1,2,0,FRA,F,F,Check-Out,10-07-2015,Desired,Family
Resort Hotel,0,95,2015,July,2,0,0,PRT,A,C,Check-Out,10-07-2015,Un-Desired,Couples
Resort Hotel,0,102,2015,July,2,0,0,PRT,E,E,Check-Out,11-07-2015,Desired,Couples
Resort Hotel,1,26,2015,July,2,2,0,PRT,H,H,Canceled,09-06-2015,Desired,Family
Resort Hotel,1,73,2015,July,3,0,0,PRT,D,D,Canceled,20-05-2015,Desired,Family
Resort Hotel,1,102,2015,July,2,0,0,PRT,A,A,Canceled,22-04-2015,Desired,Couples
Resort Hotel,0,115,2015,July,2,0,0,PRT,A,A,Check-Out,11-07-2015,Desired,Couples
Resort Hotel,0,102,2015,July,2,0,1,PRT,A,A,Check-Out,11-07-2015,Desired,Family
Resort Hotel,0,86,2015,July,2,0,0,CHE,D,D,Check-Out,11-07-2015,Desired,Couples
Resort Hotel,0,78,2015,July,2,0,1,PRT,E,F,Check-Out,11-07-2015,Un-Desired,Family
Resort Hotel,0,52,2015,July,2,0,0,GBR,A,A,Check-Out,11-07-2015,Desired,Couples
Resort Hotel,0,29,2015,July,3,0,0,PRT,E,E,Check-Out,12-07-2015,Desired,Family
Resort Hotel,1,101,2015,July,2,0,0,PRT,E,E,Canceled,12-05-2015,Desired,Couples
Resort Hotel,0,109,2015,July,2,0,0,PRT,A,A,Check-Out,12-07-2015,Desired,Couples
Resort Hotel,0,92,2015,July,2,0,0,GBR,D,D,Check-Out,14-07-2015,Desired,Couples
Resort Hotel,0,92,2015,July,2,0,0,PRT,D,D,Check-Out,14-07-2015,Desired,Couples
Resort Hotel,0,79,2015,July,2,1,0,PRT,D,D,Check-Out,14-07-2015,Desired,Family
Resort Hotel,0,2,2015,July,2,2,0,PRT,H,G,Check-Out,05-07-2015,Un-Desired,Family
Resort Hotel,0,30,2015,July,2,0,0,PRT,D,C,Check-Out,05-07-2015,Un-Desired,Couples
Resort Hotel,1,51,2015,July,1,0,0,PRT,A,A,Canceled,29-05-2015,Desired,Single
Resort Hotel,1,36,2015,July,1,0,0,PRT,E,G,No-Show,04-07-2015,Un-Desired,Single
Resort Hotel,1,73,2015,July,2,0,0,PRT,A,A,Canceled,13-05-2015,Desired,Couples
Resort Hotel,1,33,2015,July,2,0,0,PRT,D,D,Canceled,16-06-2015,Desired,Couples
Resort Hotel,0,32,2015,July,4,0,0,PRT,H,H,Check-Out,05-07-2015,Desired,Family
Resort Hotel,0,8,2015,July,2,0,0,ESP,E,E,Check-Out,05-07-2015,Desired,Couples
Resort Hotel,0,100,2015,July,2,0,0,FRA,A,C,Check-Out,06-07-2015,Un-Desired,Couples
Resort Hotel,0,1,2015,July,2,0,0,PRT,A,A,Check-Out,06-07-2015,Desired,Couples
Resort Hotel,0,100,2015,July,2,0,0,FRA,A,A,Check-Out,06-07-2015,Desired,Couples
Resort Hotel,0,100,2015,July,2,0,0,FRA,A,C,Check-Out,06-07-2015,Un-Desired,Couples
Resort Hotel,0,9,2015,July,2,0,0,ESP,A,C,Check-Out,06-07-2015,Un-Desired,Couples
Resort Hotel,1,5,2015,July,2,0,0,PRT,D,D,Canceled,01-07-2015,Desired,Couples
Resort Hotel,0,0,2015,July,2,0,0,ESP,A,C,Check-Out,06-07-2015,Un-Desired,Couples
Resort Hotel,0,9,2015,July,1,0,0,DEU,A,A,Check-Out,06-07-2015,Desired,Single
Resort Hotel,0,2,2015,July,1,0,0,PRT,A,D,Check-Out,06-07-2015,Un-Desired,Single
Resort Hotel,0,2,2015,July,2,0,0,PRT,A,E,Check-Out,06-07-2015,Un-Desired,Couples
Resort Hotel,0,9,2015,July,1,0,0,DEU,A,A,Check-Out,06-07-2015,Desired,Single
Resort Hotel,1,5,2015,July,2,0,0,PRT,D,D,Canceled,01-07-2015,Desired,Couples
Resort Hotel,0,2,2015,July,2,0,0,PRT,G,G,Check-Out,06-07-2015,Desired,Couples
Resort Hotel,0,44,2015,July,3,0,0,PRT,G,G,Check-Out,07-07-2015,Desired,Family
Resort Hotel,0,80,2015,July,2,0,0,FRA,D,E,Check-Out,07-07-2015,Un-Desired,Couples
Resort Hotel,0,97,2015,July,2,0,0,ESP,D,D,Check-Out,09-07-2015,Desired,Couples
Resort Hotel,0,109,2015,July,2,1,0,CN,A,D,Check-Out,10-07-2015,Un-Desired,Family
Resort Hotel,0,30,2015,July,2,0,0,ESP,E,E,Check-Out,10-07-2015,Desired,Couples
Resort Hotel,0,64,2015,July,2,0,0,PRT,E,E,Check-Out,10-07-2015,Desired,Couples
Resort Hotel,0,39,2015,July,2,0,0,ESP,H,H,Check-Out,11-07-2015,Desired,Couples
Resort Hotel,0,90,2015,July,2,0,0,PRT,A,A,Check-Out,11-07-2015,Desired,Couples
Resort Hotel,1,34,2015,July,2,2,0,PRT,H,H,Canceled,17-06-2015,Desired,Family
Resort Hotel,1,93,2015,July,2,0,0,PRT,D,D,Canceled,01-05-2015,Desired,Couples
Resort Hotel,0,97,2015,July,2,2,0,PRT,C,C,Check-Out,12-07-2015,Desired,Family
Resort Hotel,0,29,2015,July,2,0,0,IRL,F,F,Check-Out,12-07-2015,Desired,Couples
Resort Hotel,1,101,2015,July,2,0,0,PRT,A,A,Canceled,30-03-2015,Desired,Couples
Resort Hotel,0,27,2015,July,2,0,0,ESP,E,E,Check-Out,12-07-2015,Desired,Couples
Resort Hotel,0,8,2015,July,2,2,0,CHE,H,H,Check-Out,14-07-2015,Desired,Family
Resort Hotel,0,82,2015,July,2,0,0,PRT,D,D,Check-Out,15-07-2015,Desired,Couples
Resort Hotel,0,94,2015,July,3,0,0,PRT,D,C,Check-Out,15-07-2015,Un-Desired,Family
Resort Hotel,0,110,2015,July,2,0,0,GBR,D,D,Check-Out,16-07-2015,Desired,Couples
Resort Hotel,0,96,2015,July,1,0,0,GBR,A,A,Check-Out,19-07-2015,Desired,Single
Resort Hotel,0,79,2015,July,2,0,0,GBR,D,D,Check-Out,19-07-2015,Desired,Couples
Resort Hotel,0,115,2015,July,2,2,0,PRT,G,G,Check-Out,11-07-2015,Desired,Family
Resort Hotel,0,111,2015,July,2,0,0,PRT,A,C,Check-Out,10-07-2015,Un-Desired,Couples
Resort Hotel,0,51,2015,July,2,0,0,USA,G,G,Check-Out,10-07-2015,Desired,Couples
Resort Hotel,0,94,2015,July,3,0,0,CN,D,D,Check-Out,10-07-2015,Desired,Family
Resort Hotel,0,81,2015,July,2,2,0,CHE,G,G,Check-Out,10-07-2015,Desired,Family
Resort Hotel,0,84,2015,July,2,0,1,PRT,D,E,Check-Out,10-07-2015,Un-Desired,Family
Resort Hotel,0,51,2015,July,3,0,0,USA,G,G,Check-Out,10-07-2015,Desired,Family
Resort Hotel,0,111,2015,July,2,0,0,PRT,A,H,Check-Out,06-07-2015,Un-Desired,Couples
Resort Hotel,0,0,2015,July,1,0,0,PRT,E,H,Check-Out,06-07-2015,Un-Desired,Single
Resort Hotel,0,2,2015,July,2,1,0,PRT,A,E,Check-Out,07-07-2015,Un-Desired,Family
Resort Hotel,0,7,2015,July,2,0,0,PRT,A,E,Check-Out,08-07-2015,Un-Desired,Couples
Resort Hotel,0,98,2015,July,2,0,0,USA,D,F,Check-Out,08-07-2015,Un-Desired,Couples
Resort Hotel,0,95,2015,July,2,0,0,GRC,D,D,Check-Out,09-07-2015,Desired,Couples
Resort Hotel,1,48,2015,July,2,0,0,PRT,E,E,Canceled,03-06-2015,Desired,Couples
Resort Hotel,0,66,2015,July,2,0,0,PRT,A,E,Check-Out,10-07-2015,Un-Desired,Couples
Resort Hotel,0,104,2015,July,2,0,0,PRT,A,C,Check-Out,10-07-2015,Un-Desired,Couples
Resort Hotel,0,28,2015,July,2,0,0,PRT,E,E,Check-Out,11-07-2015,Desired,Couples
Resort Hotel,0,34,2015,July,2,0,0,PRT,F,F,Check-Out,11-07-2015,Desired,Couples
Resort Hotel,0,98,2015,July,2,0,0,ESP,A,C,Check-Out,12-07-2015,Un-Desired,Couples
Resort Hotel,0,104,2015,July,2,0,0,PRT,E,E,Check-Out,12-07-2015,Desired,Couples
Resort Hotel,0,68,2015,July,2,2,0,PRT,G,G,Check-Out,13-07-2015,Desired,Family
Resort Hotel,1,86,2015,July,1,0,0,PRT,A,A,Canceled,26-06-2015,Desired,Single
Resort Hotel,0,258,2015,July,2,0,0,GBR,A,A,Check-Out,13-07-2015,Desired,Couples
Resort Hotel,0,111,2015,July,2,0,0,PRT,A,C,Check-Out,14-07-2015,Un-Desired,Couples
Resort Hotel,1,94,2015,July,2,0,0,PRT,D,D,Canceled,14-05-2015,Desired,Couples
Resort Hotel,0,112,2015,July,2,0,0,GBR,A,A,Check-Out,16-07-2015,Desired,Couples
Resort Hotel,0,100,2015,July,2,0,0,GBR,D,D,Check-Out,16-07-2015,Desired,Couples
Resort Hotel,0,33,2015,July,2,0,0,PRT,F,F,Check-Out,16-07-2015,Desired,Couples
Resort Hotel,0,97,2015,July,2,0,0,GBR,D,D,Check-Out,16-07-2015,Desired,Couples
Resort Hotel,0,80,2015,July,1,0,0,FRA,A,A,Check-Out,17-07-2015,Desired,Single
Resort Hotel,0,90,2015,July,2,0,0,ITA,D,D,Check-Out,20-07-2015,Desired,Couples
Resort Hotel,0,111,2015,July,2,0,0,GBR,A,A,Check-Out,20-07-2015,Desired,Couples
Resort Hotel,0,65,2015,July,2,0,0,PRT,D,D,Check-Out,13-07-2015,Desired,Couples
Resort Hotel,1,67,2015,July,2,0,0,PRT,A,A,Canceled,07-05-2015,Desired,Couples
Resort Hotel,0,55,2015,July,2,0,0,ESP,A,A,Check-Out,10-07-2015,Desired,Couples
Resort Hotel,0,21,2015,July,2,1,0,PRT,F,F,Check-Out,10-07-2015,Desired,Family
Resort Hotel,0,8,2015,July,2,0,0,PRT,A,A,Check-Out,07-07-2015,Desired,Couples
Resort Hotel,0,8,2015,July,2,0,0,PRT,A,E,Check-Out,07-07-2015,Un-Desired,Couples
Resort Hotel,0,0,2015,July,1,0,0,GBR,A,A,Check-Out,08-07-2015,Desired,Single
Resort Hotel,0,0,2015,July,3,0,0,PRT,C,C,Check-Out,08-07-2015,Desired,Family
Resort Hotel,0,0,2015,July,1,0,0,GBR,A,A,Check-Out,08-07-2015,Desired,Single
Resort Hotel,0,8,2015,July,3,2,0,ESP,H,H,Check-Out,11-07-2015,Desired,Family
Resort Hotel,0,66,2015,July,2,0,0,PRT,D,D,Check-Out,11-07-2015,Desired,Couples
Resort Hotel,0,88,2015,July,3,0,0,USA,D,E,Check-Out,11-07-2015,Un-Desired,Family
Resort Hotel,0,0,2015,July,2,0,0,NLD,A,A,Check-Out,11-07-2015,Desired,Couples
Resort Hotel,1,43,2015,July,2,0,0,PRT,A,A,Canceled,28-05-2015,Desired,Couples
Resort Hotel,1,88,2015,July,2,0,0,PRT,E,E,Canceled,13-04-2015,Desired,Couples
Resort Hotel,0,54,2015,July,2,0,0,IRL,D,D,Check-Out,14-07-2015,Desired,Couples
Resort Hotel,1,292,2015,July,2,0,0,PRT,A,A,Canceled,25-03-2015,Desired,Couples
Resort Hotel,0,112,2015,July,2,0,0,IRL,D,D,Check-Out,21-07-2015,Desired,Couples
Resort Hotel,0,68,2015,July,2,0,0,GBR,E,E,Check-Out,11-07-2015,Desired,Couples
Resort Hotel,0,7,2015,July,2,0,0,PRT,A,A,Check-Out,12-07-2015,Desired,Couples
Resort Hotel,0,1,2015,July,2,0,0,ESP,A,A,Check-Out,12-07-2015,Desired,Couples
Resort Hotel,1,113,2015,July,2,0,0,PRT,A,A,Canceled,28-05-2015,Desired,Couples
Resort Hotel,0,5,2015,July,2,0,0,ESP,D,D,Check-Out,12-07-2015,Desired,Couples
Resort Hotel,0,83,2015,July,2,0,0,PRT,A,A,Check-Out,12-07-2015,Desired,Couples
Resort Hotel,1,105,2015,July,2,0,0,PRT,A,A,Canceled,29-06-2015,Desired,Couples
Resort Hotel,0,0,2015,July,1,0,0,PRT,A,A,Check-Out,09-07-2015,Desired,Single
Resort Hotel,1,1,2015,July,2,0,0,PRT,A,A,Canceled,08-07-2015,Desired,Couples
Resort Hotel,1,1,2015,July,2,0,0,PRT,A,A,Canceled,08-07-2015,Desired,Couples
Resort Hotel,0,1,2015,July,2,0,0,CHE,A,F,Check-Out,10-07-2015,Un-Desired,Couples
Resort Hotel,1,102,2015,July,2,0,0,PRT,A,A,Canceled,28-05-2015,Desired,Couples
Resort Hotel,0,113,2015,July,2,0,0,PRT,E,E,Check-Out,14-07-2015,Desired,Couples
Resort Hotel,1,280,2015,July,2,1,0,PRT,D,D,Canceled,15-04-2015,Desired,Family
Resort Hotel,0,96,2015,July,2,0,0,GBR,E,F,Check-Out,15-07-2015,Un-Desired,Couples
Resort Hotel,0,394,2015,July,2,0,0,GBR,D,D,Check-Out,15-07-2015,Desired,Couples
Resort Hotel,0,33,2015,July,2,0,0,PRT,E,E,Check-Out,15-07-2015,Desired,Couples
Resort Hotel,0,82,2015,July,3,0,0,IRL,A,A,Check-Out,16-07-2015,Desired,Family
Resort Hotel,0,100,2015,July,3,0,0,DNK,E,E,Check-Out,17-07-2015,Desired,Family
Resort Hotel,0,100,2015,July,2,0,0,DNK,E,E,Check-Out,17-07-2015,Desired,Couples
Resort Hotel,0,17,2015,July,2,2,0,PRT,C,C,Check-Out,10-07-2015,Desired,Family
Resort Hotel,0,68,2015,July,3,0,0,ARG,A,C,Check-Out,11-07-2015,Un-Desired,Family
Resort Hotel,0,12,2015,July,2,2,0,PRT,H,G,Check-Out,11-07-2015,Un-Desired,Family
Resort Hotel,1,77,2015,July,2,0,0,PRT,D,D,Canceled,02-06-2015,Desired,Couples
Resort Hotel,1,24,2015,July,2,2,0,PRT,C,C,Canceled,16-06-2015,Desired,Family
Resort Hotel,1,44,2015,July,2,2,0,PRT,G,G,Canceled,16-06-2015,Desired,Family
Resort Hotel,0,78,2015,July,2,0,1,PRT,A,A,Check-Out,12-07-2015,Desired,Family
Resort Hotel,1,17,2015,July,2,0,0,PRT,A,A,Canceled,23-06-2015,Desired,Couples
Resort Hotel,1,103,2015,July,2,0,0,PRT,A,A,Canceled,27-06-2015,Desired,Couples
Resort Hotel,0,16,2015,July,1,0,0,RUS,A,A,Check-Out,13-07-2015,Desired,Single
Resort Hotel,0,14,2015,July,2,0,0,SWE,A,A,Check-Out,14-07-2015,Desired,Couples
Resort Hotel,0,77,2015,July,2,0,0,POL,A,A,Check-Out,14-07-2015,Desired,Couples
Resort Hotel,0,90,2015,July,2,0,0,FRA,A,D,Check-Out,16-07-2015,Un-Desired,Couples
Resort Hotel,0,90,2015,July,2,0,0,GBR,A,A,Check-Out,16-07-2015,Desired,Couples
Resort Hotel,0,90,2015,July,2,0,0,GBR,E,E,Check-Out,16-07-2015,Desired,Couples
Resort Hotel,0,366,2015,July,2,0,0,GBR,E,E,Check-Out,16-07-2015,Desired,Couples
Resort Hotel,0,249,2015,July,2,0,0,PRT,A,A,Check-Out,16-07-2015,Desired,Couples
Resort Hotel,1,69,2015,July,2,0,0,PRT,A,A,Canceled,13-05-2015,Desired,Couples
Resort Hotel,0,10,2015,July,2,0,0,USA,A,A,Check-Out,11-07-2015,Desired,Couples
Resort Hotel,0,22,2015,July,2,0,0,PRT,A,A,Check-Out,12-07-2015,Desired,Couples
Resort Hotel,0,91,2015,July,2,0,0,PRT,A,A,Check-Out,12-07-2015,Desired,Couples
Resort Hotel,0,23,2015,July,2,0,0,PRT,A,A,Check-Out,12-07-2015,Desired,Couples
Resort Hotel,0,11,2015,July,2,0,0,PRT,A,A,Check-Out,12-07-2015,Desired,Couples
Resort Hotel,0,3,2015,July,2,0,0,PRT,A,A,Check-Out,12-07-2015,Desired,Couples
Resort Hotel,0,13,2015,July,2,1,0,PRT,G,G,Check-Out,12-07-2015,Desired,Family
Resort Hotel,0,108,2015,July,2,0,0,PRT,D,D,Check-Out,12-07-2015,Desired,Couples
Resort Hotel,0,91,2015,July,2,0,0,PRT,A,A,Check-Out,12-07-2015,Desired,Couples
Resort Hotel,0,37,2015,July,2,0,0,GBR,C,C,Check-Out,13-07-2015,Desired,Couples
Resort Hotel,0,21,2015,July,2,0,0,AUS,A,C,Check-Out,13-07-2015,Un-Desired,Couples
Resort Hotel,0,106,2015,July,2,0,0,GBR,E,E,Check-Out,13-07-2015,Desired,Couples
Resort Hotel,0,30,2015,July,2,0,0,PRT,F,F,Check-Out,14-07-2015,Desired,Couples
Resort Hotel,0,30,2015,July,2,0,0,PRT,F,F,Check-Out,14-07-2015,Desired,Couples
Resort Hotel,1,51,2015,July,2,0,0,PRT,E,E,Canceled,29-06-2015,Desired,Couples
Resort Hotel,0,79,2015,July,2,0,0,POL,A,A,Check-Out,15-07-2015,Desired,Couples
Resort Hotel,0,21,2015,July,2,0,2,PRT,C,C,Check-Out,15-07-2015,Desired,Family
